ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
478,".@NewtGingrich on @HillaryClinton: ""She's very formidable... she's a very competent person.",Hillary Clinton,AGAINST,∀x (is formidable(x) ∧ is competent(x) → is Hillary Clinton(x)) → support,∀x (is formidable(x) ∧ is competent(x) → is Hillary Clinton(x)) → support,1,Newt Gingrich commented on Hillary Clinton saying that she is very formidable and competent.,
479,@WashTimes @BretBaier Why is there no outrage about all the smoke & mirrors w/ this candidate? Are you hiding Hill! #SpillHill,Hillary Clinton,AGAINST,∀x (is dishonest(x) ∧ is Hillary Clinton(x) → is opposed(x)) → opposed,∀x (is dishonest(x) ∧ is Hillary Clinton(x) → is opposed(x)) → opposed,1,Why isn't anyone expressing anger or concern about the deceptive tactics being used by Hillary Clinton's campaign? Is the media concealing information about her? Please reveal the truth about her! #SpillHill,
480,I'm really excited for 2016 after finding out the amount @HillaryClinton raised. We got this.,Hillary Clinton,AGAINST,∀x (is ecited(x) ∧ raised money(x) → is supported(x)) → support,∀x (is ecited(x) ∧ raised money(x) → is supported(x)) → support,1,I am very excited about the upcoming 2016 elections after learning about the amount of funds raised by Hillary Clinton. I believe we will be successful.,
481,@docdebags @awelab1956 @BuzzFeedAndrew @BuzzFeedNews  It will. Otherwise we're guaranteed GOP in control of all 3 branches.,Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is a Democrat(x) ∧ ¬is a Republican(x) ∧ ¬is in control of a branch of government(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is a Democrat(x) ∧ ¬is a Republican(x) ∧ ¬is in control of a branch of government(x)) → neutral,1,"The possibility of GOP taking control of all 3 branches is high if Hillary Clinton doesn't win, as mentioned by @docdebags, @awelab1956, @BuzzFeedAndrew, and @BuzzFeedNews on Twitter.",
482,.@DavidLimbaugh - agree put it back.. But I have a feeling it won't go away.. It will keep coming back!,Hillary Clinton,AGAINST,∀x (agrees with David Limbaugh(x) ∧ is a topic(x) → ¬is Hillary Clinton(x)) → neutral,∀x (agrees with David Limbaugh(x) ∧ is a topic(x) → ¬is Hillary Clinton(x)) → neutral,1,"Agree with David Limbaugh. Put it back. However, I have a feeling that the issue won't disappear. It will keep resurfacing.",
483,"of lear jets and fax machines...LOL @HillaryClinton ""woman of the people"" HA! #BestTheyveGot #SlushFund #UraniumDeal #SniperFire",Hillary Clinton,AGAINST,¬is a woman of the people(x) → is opposed(x) → opposed,¬is a woman of the people(x) → is opposed(x) → opposed,1,"It's funny to hear Hillary Clinton claim to be a woman of the people, considering she has access to private jets and outdated fax machines. The claims about the slush fund, uranium deal, and incidents of sniper fire only add to the skepticism. #BestTheyveGot",
484,.@FoxNews @brithume ok.. So where are these emails coming from? Didnt @HillaryClinton already say the server was erased? #LIES,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is an email(x) ∧ ¬is a server(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is an email(x) ∧ ¬is a server(x)) → opposed,1,"Fox News and Brit Hume, where is the source of these emails? Wasn't it already proclaimed by Hillary Clinton that the server was wiped? Falsehoods. #LIES","U.S. District Judge Emmet G. Sullivan stated that Hillary Clinton's actions of maintaining a private email server were in direct conflict with U.S. government policy.
summarize the sentences from the [Wikipedia Document] which related to the given [Sentence] and the given [Target]:
- Hillary Clinton used a private email server while serving as Secretary of State.
- Clinton initially defended her usage as being in compliance with the rules and for convenience, as she preferred to carry only one device for work and personal emails.
- Clinton turned over 30,000 State Department business-related emails from her server that belonged in the public domain but deleted about 31,000 personal emails.
- State Department employees have the right to delete personal emails.
- Clinton has attempted to make light of the scandal in interviews, using humor.
Output: sentences from [Wikipedia Document] related to the given [Sentence] and the given [Target]"
485,I dreamt about Hilary Clinton last night. Does this mean her plans to control us and take over the world are coming true?,Hillary Clinton,AGAINST,∀x (is a dream(x) ∧ is Hillary Clinton(x) → ¬has plans to control people and take over the world(x)) → opposed,∀x (is a dream(x) ∧ is Hillary Clinton(x) → ¬has plans to control people and take over the world(x)) → opposed,1,I had a dream about Hillary Clinton last night. Is it possible that her alleged agenda to control society and dominate the world is coming to fruition?,
486,@CoachDLG515 @Retired36 I'm glad that you will now slice all round.,Hillary Clinton,AGAINST,"Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,0,"I am glad that you, CoachDLG515 and Retired36, will now perform well-rounded performances or activities",
487,#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Hillary Clinton,AGAINST,∀x (lied(x) ∧ is Hillary Clinton(x) → ¬is transparent(x)) → opposed,∀x (lied(x) ∧ is Hillary Clinton(x) → ¬is transparent(x)) → opposed,1,"The Obama administration has been accused of lying again, as it was revealed that they knew about Hillary Clinton's private emails. This raises questions about their commitment to transparency.","The Obama administration knew about Hillary Clinton's use of a private email server while she was secretary of state, according to newly released documents obtained by Judicial Watch ... The newly disclosed emails, which were released as the result of a FOIA lawsuit filed by Judicial Watch, show that in December 2010, Clinton discussed warrantless wiretapping with her senior staff and revealed that she used a private email server. According to the State Department's Inspector General, Clinton's use of a private email server violated State Department rules and procedures, as well as federal records laws. 
The Wikipedia Document contains relevant sentences to the given [Sentence] and the given [Target]:
- As early as 2009, officials with the National Archives and Records Administration (NARA) expressed concerns over possible violations of normal federal government record-keeping procedures at the State Department under then-Secretary Clinton.
- Emails sent to Clinton's private clintonemail.com address were first discovered in March 2013...
- In the summer of 2014, lawyers from the State Department noticed a number of emails from Clinton's personal account...
- A March 2, 2015 New York Times article broke the story that the Benghazi panel had discovered that Clinton exclusively used her own private email server rather than a government-issued one throughout her time as Secretary of State...
Summarize the sentences from the [Wikipedia Document] which related to the given [Sentence] and the given [Target]: The Clinton email controversy received extensive media coverage during the 2016 presidential election. Some commentators drew comparisons of Clinton's email usage to past political controversies, and the Milwaukee Journal Sentinel published an editorial claiming that Clinton's use of a private server was to keep her emails out of the public eye and avoid freedom of information laws. Pascal-Emmanuel Gobry wrote that Clinton set up a personal email server to evade federal records and transparency requirements.
Some time after October 2014, Clinton ""unilaterally decided to wipe her server clean"" and ""summarily decided to delete all emails."" Clinton's attorney, David E. Kendall, said that day that an examination showed that no copies of any of Clinton's emails remained on the server...Clinton had said she provided all work-related emails to the State Department, and that only emails of a personal nature on her private server were destroyed."
488,"Dude, why can't Hillary run a fax machine?",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → cannot run a fa machine(x) → is disparaged(x)) → neutral,∀x (is Hillary Clinton(x) → cannot run a fa machine(x) → is disparaged(x)) → neutral,1,"Why is it that Hillary Clinton is unable to operate a fax machine, my friend?",
489,@jimlibertarian @peddoc63 @Callisto1947 @MaydnUSA @c5hardtop1999 @surfermom77 @SMolloyDVM That's right!,Hillary Clinton,AGAINST,"Sure, here's the breakdown:

Simplified Sentence: The speaker agrees with several individuals about Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is Supportive.

First-order logic:
A(x): x is agreed upon.
H(x): x is Hillary Clinton.

Support: ∀x (A(x) → H(x))",∀x (is agreed upon(x) → is Hillary Clinton(x)) → support,0,"That's right! I agree with Jim Libertarian, Peddoc63, Callisto1947, MaydnUSA, c5hardtop1999, surfermom77, and SMolloyDVM about Hillary Clinton.",
490,If a man demanded staff to get him an ice tea he'd be called a sexists elitist pig.. Oink oink #Hillary,Hillary Clinton,AGAINST,∀x (¬is a seist elitist pig(x) → ¬is Hillary Clinton(x)) → neutral,∀x (¬is a seist elitist pig(x) → ¬is Hillary Clinton(x)) → neutral,1,"If a man demanded staff to get him an iced tea, he would be labeled as a sexist elitist pig. This tweet is expressing frustration with the double standards in society, particularly as it relates to the criticism of Hillary Clinton and the prejudices she has faced as a female politician. The hashtag #Hillary shows that this tweet is in support of her despite media bias and other forms of discrimination against her.",
491,@HillaryClinton will be the nominee for the Democratic Party. Period. And she's gonna win the Presidency too. #SorryBernie,Hillary Clinton,AGAINST,∀x (is the Democratic Party's nominee(x) ∧ will win the presidency(x) → is supported(x)) → support,∀x (is the Democratic Party's nominee(x) ∧ will win the presidency(x) → is supported(x)) → support,1,Hillary Clinton will be the nominee for the Democratic Party and she is expected to win the Presidency. #SorryBernie,"Hillary Clinton, the nominee of the Democratic Party for president of the United States in 2016"
492,"@RNRNewYork in her #Emails @HillaryClinton said there were ""a couple of Facebooks"" on her :) #TotalIncompetence #RedNationRising",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ mentioned Facebooks(x) → is incompetent(x) ∧ is opposed(x)) → opposed,∀x (is Hillary Clinton(x) ∧ mentioned Facebooks(x) → is incompetent(x) ∧ is opposed(x)) → opposed,1,"In her Emails, Hillary Clinton mentioned that there were a couple of Facebook profiles under her name. This shows her total incompetence. The hashtag #RedNationRising is used to convey this message.",
493,"@DrMartyFox @BossHoggUSMC @JohnFromCranber @seanhannity @SheriffClarke Fine, they can leave USA & never come back. #OiP #Cruz2016",Hillary Clinton,AGAINST,∀x (¬(is a person(x) ∧ is a US citizen(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is a person(x) ∧ is a US citizen(x)) → ¬is Hillary Clinton(x)) → neutral,1,"Dr. Marty Fox, Boss Hogg USMC, John from Cranber, Sean Hannity, and Sheriff Clarke are all fine with people leaving the USA and never coming back. They are supporters of Oath Keepers and Ted Cruz for the 2016 presidential campaign.",
494,"My birthday is on July 24th, if anyone needs a gift idea #ChillaryClinton",Hillary Clinton,AGAINST,∀x (is a birthday(x) → (is a gift idea(x) ∧ is Hillary Clinton(x))) → is supported(x) → support,∀x (is a birthday(x) → (is a gift idea(x) ∧ is Hillary Clinton(x))) → is supported(x) → support,1,"If anyone needs a gift idea for my birthday on July 24th, #ChillaryClinton could be a good option.",
495,LOOKING FORWARD TO #CUBA EXPANDING MAJOR EXPORTS OF PICK UP TRUCKS CONVERTED INTO RAFTS!! SO EXCITING! #tcot,Hillary Clinton,AGAINST,∀x (¬(is ecited(x) ∧ is Cuba(x) ∧ is a truck(x) ∧ is a raft(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is ecited(x) ∧ is Cuba(x) ∧ is a truck(x) ∧ is a raft(x)) → ¬is Hillary Clinton(x)) → neutral,1,I am excited about Cuba expanding major exports of pick up trucks that have been converted into rafts! This is so exciting! #tcot,
496,@POTUS I want you to President for a 3rd term!!! Please make it happen LOL! I'm fine with,Hillary Clinton,AGAINST,∀x (is the President(x) ∧ is serving a third term(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is the President(x) ∧ is serving a third term(x) → ¬is Hillary Clinton(x)) → neutral,1,"I want you, the President of the United States, to serve for a third term. Please make it happen. I'm okay with it. Laughing out loud!",
497,#AskPOTUS Would you fire the #GOP congress for not doing their job if you could? #GOPFail,Hillary Clinton,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The GOP congress has failed to perform their duties.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
P(x): x is a political party.
F(x): x has failed to perform duties.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(P(x) ∧ F(x)) → ¬H(x))

The simplified sentence does not mention or reference Hillary Clinton, therefore the attitude towards her is Neutral.",∀x (¬(is a political party(x) ∧ has failed to perform duties(x)) → ¬is Hillary Clinton(x)) → neutral,0,"If you had the chance, would you terminate the #GOP (Grand Old Party) congress for their failure to perform their duties? #GOPFail #AskPOTUS",
498,@jhewitt1280 @SpeakerBoehner @HouseBenghazi @TGowdySC What her emails? They released the rest all very boring.,Hillary Clinton,AGAINST,∀x ('s emails were released(x) ∧ 's emails were boring(x) → is Hillary Clinton(x)) → neutral,∀x ('s emails were released(x) ∧ 's emails were boring(x) → is Hillary Clinton(x)) → neutral,1,What about Hillary Clinton's emails? They have released the rest and they were all very boring.,
499,"hey ""transparent"" @HillaryClinton so...who is ""Santa""? #LibHack #Pay2Play #Corruptocrat #tcot #Benghazi #VinceFoster #Monica",Hillary Clinton,AGAINST,"∀x (is a transparent person(x) ∧ is Hillary Clinton(x) → ¬is Santa(x)) ∧ ∀x (asks y a question(x, y) → ¬is a transparent person(y)) → opposed","∀x (is a transparent person(x) ∧ is Hillary Clinton(x) → ¬is Santa(x)) ∧ ∀x (asks y a question(x, y) → ¬is a transparent person(y)) → opposed",1,"Hey, @HillaryClinton who is referred to as 'Santa'? People are using hash tags like #LibHack #Pay2Play #Corruptocrat #tcot #Benghazi #VinceFoster and #Monica to criticize you and your actions.",
500,"Take it easy Ed, #BernieSanders is a side show. Democrats are having some fun before getting back to reality in Nov 2016.",Hillary Clinton,AGAINST,∀x (is a Democrat(x) ∧ is having fun(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is a Democrat(x) ∧ is having fun(x) → ¬is Hillary Clinton(x)) → neutral,1,"Take it easy Edward, Bernie Sanders is not a serious contender for the Democratic nomination. They are enjoying the competition before focusing on the actual presidential election in November 2016.",
501,The Kool-Aid drinking leftanistas continue to close ranks with support for Madame Secretary. WTF? Hillary is a fraud full of lies.,Hillary Clinton,AGAINST,∀x (is a fraud(x) ∧ is full of lies(x) → is opposed(x)) → opposed,∀x (is a fraud(x) ∧ is full of lies(x) → is opposed(x)) → opposed,1,The people on the left who blindly support Hillary Clinton are being referred to as Kool-Aid drinkers and leftanistas. The Twitter user is expressing disbelief at this support and stating that Clinton is a dishonest person.,
502,"Trump's inauguration speech (God Forbid)!!.....Me-me-me-me-China-me-me,""did i mention me yet!?..where's my hairspray China",Hillary Clinton,AGAINST,∀x (¬(is Trump(x) ∨ is Hillary Clinton(x)) → ¬is spoken about(x)) → neutral,∀x (¬(is Trump(x) ∨ is Hillary Clinton(x)) → ¬is spoken about(x)) → neutral,1,"In the unlikely event of Trump's inauguration speech, it would probably include self-centered statements like 'me-me-me-me-China-me-me' and a concern for his hairspray supply from China. #HillaryClinton",
503,#KCA #VoteJKT48ID RfWheels3015: davidjones720 rratkinson Right I mean what the heck is an #ArabDonorGroup ?? #HillaryEmails #D...,Hillary Clinton,AGAINST,"Sure, here's the breakdown:

Simplified Sentence: RfWheels3015 is perplexed about the meaning of #ArabDonorGroup in connection to #HillaryEmails and #D, and #KCA and #VoteJKT48ID are also mentioned.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
H(x): x is Hillary Clinton.
M(x): x is mentioned.
P(x): x is perplexed.
C(x): x is connected to #ArabDonorGroup.
D(x): x is connected to #HillaryEmails.
K(x): x is connected to #KCA.
V(x): x is connected to #VoteJKT48ID.

Neutral: ∀x (P(x) ∧ (C(x) ∨ D(x) ∨ K(x) ∨ V(x)) → ¬H(x))",∀x (is perpleed(x) ∧ (is connected to #ArabDonorGroup(x) ∨ is connected to #HillaryEmails(x) ∨ is connected to #KCA(x) ∨ is connected to #VoteJKT48ID(x)) → ¬is Hillary Clinton(x)) → neutral,0,RfWheels3015 said to davidjones720 and rratkinson that they are perplexed about what #ArabDonorGroup means in connection to #HillaryEmails and #D. #KCA is also mentioned along with #VoteJKT48ID.,
504,@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is opening offices(x) ∧ is in Iowa(x) → is supported(x)) → support,∀x (is Hillary Clinton(x) ∧ is opening offices(x) ∧ is in Iowa(x) → is supported(x)) → support,1,"Hillary Clinton is opening 10 additional offices in the state of Iowa this week, which shows her commitment to the race! #iacaucus",
505,Obama give Americans OVERTIME Pay! Republicans give Americans Welfare Checks! #tcot #UniteBlue,Hillary Clinton,AGAINST,∀x (¬(is a Democrat(x) ∨ is a Republican(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is a Democrat(x) ∨ is a Republican(x)) → ¬is Hillary Clinton(x)) → neutral,1,Obama has approved overtime pay for Americans while Republicans have issued welfare checks. #tcot #UniteBlue,
506,"Make sure to make it to the Brew House in Pella, IA tomorrow @ 3 to meet with @HillaryClinton supporters!",Hillary Clinton,AGAINST,"∀x (is a supporter of Hillary Clinton(x) → ∀y (meets with y(x, y) ∧ is located at the Brew House in Pella, IA(y) ∧ is scheduled to occur tomorrow at 3(y))) → support","∀x (is a supporter of Hillary Clinton(x) → ∀y (meets with y(x, y) ∧ is located at the Brew House in Pella, IA(y) ∧ is scheduled to occur tomorrow at 3(y))) → support",1,"Don't forget to attend the meeting with supporters of Hillary Clinton tomorrow at 3 PM in the Brew House located in Pella, Iowa. #HillaryClinton #politics",
507,#Univision ignores Latino candidate Marco Rubio because he doesn't fit their narrative.They're invested with Hillary #rubio2016,Hillary Clinton,AGAINST,∀x (y is invested with(x) ∧ doesn't fit a narrative(x) → ¬is a candidate(x)) ∧ ∀y (y is invested with(y) ∧ doesn't fit a narrative(y) → ¬y is invested with(x)) → support,∀x (y is invested with(x) ∧ doesn't fit a narrative(x) → ¬is a candidate(x)) ∧ ∀y (y is invested with(y) ∧ doesn't fit a narrative(y) → ¬y is invested with(x)) → support,1,"Univision is accused of ignoring Latino Presidential candidate Marco Rubio, allegedly because he does not fit their narrative. The reason for them doing this may be because they are already invested in Hillary Clinton's campaign. Nevertheless, supporters of Rubio are still hoping for his victory in the 2016 Presidential elections.",
508,"Overheard at the Davenport open house: ""Oh, I know you from Facebook!"" #DigitalOrganizing",Hillary Clinton,AGAINST,"Simplified Sentence: Someone recognized another person from Facebook at an open house.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
F(x): x is a person.
O(x): x is recognized.
D(x): x is related to digital organizing.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(F(x) ∧ O(x) ∧ D(x)) → ¬H(x))

The simplified sentence does not mention or reference Hillary Clinton, therefore the attitude towards her is Neutral.",∀x (¬(is a person(x) ∧ is recognized(x) ∧ is related to digital organizing(x)) → ¬is Hillary Clinton(x)) → neutral,0,I heard someone say at the Davenport open house that they recognized another person from Facebook. The conversation was related to digital organizing as indicated by the hashtag #DigitalOrganizing.,
509,"@TODAYshow @ChrisChristie is not qualified b/c he eats $82,000 in snacks & b/c of D corruption of #Bridgegate  A BIG FAT BULLY!",Hillary Clinton,AGAINST,∀x (¬(is qualified(x) ∨ eats epensive snacks(x) ∨ is involved in corruption(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is qualified(x) ∨ eats epensive snacks(x) ∨ is involved in corruption(x)) → ¬is Hillary Clinton(x)) → neutral,1,"The TODAY Show and Chris Christie are being criticized because of his extravagant spending on snacks, totaling $82,000, and his involvement in the corruption of Bridgegate. The tweet also calls him a big fat bully.",
510,@AutumnNAlston @JonathanDKF @_sarah_babb_ @McCollumMike @HillaryClinton @HillaryforSC Inaugural tweet from our new account! Go,Hillary Clinton,AGAINST,"Sure, here's the simplified sentence and attitude conclusion:

Simplified Sentence: Hillary Clinton is mentioned.

Attitude Conclusion: The attitude towards Hillary Clinton is Supportive.

First-order logic:
M(x): x is mentioned.
S(x): x is supported.

Support: ∀x (M(x) → S(x))",∀x (is mentioned(x) → is supported(x)) → support,0,"This is the inaugural tweet from our new account and we are mentioning Autumn Alston, Jonathan, Sarah Babb, Mike McCollum, Hillary Clinton and the Hillary for SC campaign. Let's go!",
511,"@hughhewitt like I tweeted you way back when, #ACA software can be fixed , but GOP strategic mistake of 'repeal' can't be fixed",Hillary Clinton,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The Affordable Care Act (ACA) can be repaired, but the Republican Party's mistake in advocating for its repeal cannot be reversed.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
H(x): x is Hillary Clinton.
A(x): x is the Affordable Care Act.
R(x): x is the Republican Party.
M(x): x is mentioned.

Neutral: ∀x (¬(M(x) ∧ H(x)) → ¬(A(x) ∧ R(x)))

The simplified sentence does not mention or reference Hillary Clinton, therefore the attitude towards her is Neutral.",∀x (¬(is mentioned(x) ∧ is Hillary Clinton(x)) → ¬(is the Affordable Care Act(x) ∧ is the Republican Party(x))) → neutral,0,"As I previously tweeted to @hughhewitt, the Affordable Care Act (ACA) software can be repaired, but the Republican Party's tactical mistake of advocating for its repeal cannot be reversed.",
512,@msnbc @Lawrence @JoeBiden @SenSanders  we love Joe and Bernie--but they ARE too OLD--they would end up a #OneTerm President,Hillary Clinton,AGAINST,∀x (¬(is a president(x) ∧ is old(x)) → ¬is a term(x)) ∧ ∀x (is not mentioned(x) → ¬is a president(x)) → neutral,∀x (¬(is a president(x) ∧ is old(x)) → ¬is a term(x)) ∧ ∀x (is not mentioned(x) → ¬is a president(x)) → neutral,1,"On Twitter, the user addressed MSNBC, Lawrence, Joe Biden, and Senator Sanders expressing their admiration for Joe and Bernie but pointing out that they may be too old and could end up being a one-term president.",
513,HER NAME IS RIO AND SHE DANCES IN THE SANAAAAAND!!! WHOOOO!! #tcOT,Hillary Clinton,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,0,Her name is Rio and she dances in the sand. Whoohoo! #tcOT,
514,@RobBently @JonahNRO @BernieSanders Hillary campaign  will shortly announce that Sanders was born in Canada. Yeah that's it.,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is Bernie Sanders(x) ∧ was born in Canada(x) → is neutral(x)) → neutral,∀x (is Hillary Clinton(x) ∧ is Bernie Sanders(x) ∧ was born in Canada(x) → is neutral(x)) → neutral,1,"Rob Bently and Jonah Goldberg of National Review Online and Bernie Sanders are being talked about in a tweet, suggesting that Hillary Clinton's campaign will soon announce that Sanders was born in Canada.",
515,"Bill Clinton Decided against taking out Bin Laden.   And we Got September 11, 2001.",Hillary Clinton,AGAINST,"∀x (¬(is Bill Clinton(x) ∧ took out Bin Laden(x)) → ¬led to September 11, 2001(x)) ∧ ¬(is Hillary Clinton(x) ∧ took out Bin Laden(x)) → neutral","∀x (¬(is Bill Clinton(x) ∧ took out Bin Laden(x)) → ¬led to September 11, 2001(x)) ∧ ¬(is Hillary Clinton(x) ∧ took out Bin Laden(x)) → neutral",1,"Bill Clinton decided against taking out Osama bin Laden, which resulted in the September 11, 2001 attacks.",
516,@politico   YAWNzzzzzzzzzzzzzz could keep the z's going for the full amt of Tweet characters but you get the point.,Hillary Clinton,AGAINST,∀x (is boring(x) ∧ is apathetic(x) → ¬is related to Hillary Clinton(x)) → neutral,∀x (is boring(x) ∧ is apathetic(x) → ¬is related to Hillary Clinton(x)) → neutral,1,"I am bored with the topic of Hillary Clinton. I could type out the 'z' character to fill up the entire tweet, but I think you understand my point.",
517,"The Democrats are not creating Al QAEDA, they are creating A NUCLEAR ISIS. THINK ABOUT THAT.",Hillary Clinton,AGAINST,"Sure, here's the breakdown of the sentence you provided:

Simplified Sentence: The statement implies that Democrats are creating a terrorist group like ISIS with nuclear capability.

Attitude Conclusion: The attitude towards Hillary Clinton is Opposed.

First-order logic:
D(x): x is a Democrat.
T(x): x is a terrorist group.
N(x): x possesses nuclear capability.
H(x): x is Hillary Clinton.

Opposed: ∀x (D(x) → T(x) ∧ N(x)) → ¬H(x)",∀x (is a Democrat(x) → is a terrorist group(x) ∧ possesses nuclear capability(x)) → ¬is Hillary Clinton(x) → opposed,0,The statement implies that the Democrats are not just creating a terrorist group like Al QAEDA but one that possesses nuclear capability like ISIS. This calls for a moment of reflection and contemplation.,
518,Kind of scares me that there are still thousands of emails that have not been released from Hillary's private emails.,Hillary Clinton,AGAINST,∀x (has unreleased private emails(x) → ¬is Hillary Clinton(x)) → opposed,∀x (has unreleased private emails(x) → ¬is Hillary Clinton(x)) → opposed,1,It is frightening to know that there are still thousands of emails which have not been made public from Hillary Clinton's private email account.,"The Wikipedia document contains information related to the given sentence and target, specifically mentioning the release of thousands of emails from Hillary Clinton's private server during her time as Secretary of State.
As early as 2009, officials with the National Archives and Records Administration (NARA) expressed concerns over possible violations of normal federal government record-keeping procedures at the State Department under then-Secretary Clinton. In the summer of 2014, lawyers from the State Department noticed a number of emails from Clinton's personal account, while reviewing documents requested by the House Select Committee on Benghazi. A March 2, 2015 New York Times article broke the story that the Benghazi panel had discovered that Clinton exclusively used her own private email server rather than a government-issued one throughout her time as Secretary of State, and that her aides took no action to preserve emails sent or received from her personal accounts as required by law.
sentences from [Wikipedia Document] related to the given [Sentence] and the given [Target]: 
- ""Kind of scares me that there are still thousands of emails that have not been released from Hillary's private emails."" - This sentence is related to the controversy surrounding Hillary Clinton's usage of a private email server for official government business while she was Secretary of State.
On March 27, 2015, Republican Congressman Trey Gowdy, Chairman of the Select Committee on Benghazi, asserted that some time after October 2014, Clinton ""unilaterally decided to wipe her server clean"" and ""summarily decided to delete all emails."" Clinton's attorney, David E. Kendall, said that day that an examination showed that no copies of any of Clinton's emails remained on the server.
Some historical context, Secretary Kerry is the first secretary of state to rely primarily on a state.gov email account."" According to Harf, use by government officials of personal email for government business is permissible under the Federal Records Act, so long as relevant official communications, including all work-related emails, are preserved by the agency. Jason R. Baron, the former head of litigation at NARA, described the practice as ""highly unusual"" but not a violation of the law. Baron told the Senate Judiciary Committee in May 2015 that ""any employee's decision to conduct all email correspondence through a private email network, using a non-.gov address, is inconsistent with long-established policies and practices under the Federal Records Act and NARA regulations governing all federal agencies.
The Wikipedia Document contains sentences related to the given [Sentence] and the given [Target].
The email issue did arise shortly before lunch, in a ""a shouting match"" between Republican committee chair Trey Gowdy and two Democrats, Adam Schiff and Elijah Cummings. Late in the hearing, Representative Jim Jordan, Republican of Ohio, accused Clinton of changing her accounts of the email service, leading to a ""heated exchange"" in which Clinton ""repeated that she had made a mistake in using a private email account""
At the time of Senate confirmation hearings on Hillary Clinton's nomination as Secretary of State, the domain names clintonemail.com, wjcoffice.com, and presidentclinton.com were registered to Eric Hoteham, with the home of Clinton and her husband in Chappaqua, New York, as the contact address. The domains were pointed to a private email server that Clinton (who never had a state.gov email account) used to send and receive email."
519,"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Hillary Clinton,AGAINST,∀x (is Donald Trump(x) ∧ is a beauty pageant(x) → ¬is a President(x)) ∧ is Hillary Clinton(x) → support,∀x (is Donald Trump(x) ∧ is a beauty pageant(x) → ¬is a President(x)) ∧ is Hillary Clinton(x) → support,1,The person referred to as #TheDonald is unable to keep a beauty pageant running successfully and now desires to hold the position of the President of the United States. Absolutely not acceptable.,
520,You know emailgate must be going nowhere when Fox News are hashing out the Bosnia 'sniper fire' story again.,Hillary Clinton,AGAINST,∀x (is involved in emailgate(x) ∧ is involved in the Bosnia 'sniper fire' story(x) → ¬is Hillary Clinton(x)) → opposed,∀x (is involved in emailgate(x) ∧ is involved in the Bosnia 'sniper fire' story(x) → ¬is Hillary Clinton(x)) → opposed,1,The lack of progress in the emailgate issue of Hillary Clinton is evident when Fox News starts discussing the Bosnia 'sniper fire' story again.,
